NO,名称,名称_カナ,住所,方書,緯度,経度,標高,電話番号,内線番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,備考
1,西中学校,ニシチュウガッコウ,香川県善通寺市文京町4-1-1,,34.223055,133.780821,30.1,(0877)62-2340,,372048,香川県,善通寺市,1,1,,1,,,1,,1,262人（4平方メートルあたり1人）,,https://www.city.zentsuji.kagawa.jp/soshiki/5/bousai-refuge.html,
2,中央小学校,チュウオウショウガッコウ,香川県善通寺市文京町4-5-1,,34.224058,133.778552,28.9,(0877)62-1616,,372048,香川県,善通寺市,1,1,,1,,,1,,1,180人（4平方メートルあたり1人）,,https://www.city.zentsuji.kagawa.jp/soshiki/5/bousai-refuge.html,
3,東中学校,ヒガシチュウガッコウ,香川県善通寺市生野本町2-14-1,,34.224793,133.786547,33.6,(0877)62-2360,,372048,香川県,善通寺市,1,1,,1,,,1,,1,210人（4平方メートルあたり1人）,,https://www.city.zentsuji.kagawa.jp/soshiki/5/bousai-refuge.html,
4,南部小学校,ナンブショウガッコウ,香川県善通寺市生野町2990-1,,34.215643,133.789746,58.2,(0877)62-0702,,372048,香川県,善通寺市,1,,,1,,,1,,1,137人（4平方メートルあたり1人）,,https://www.city.zentsuji.kagawa.jp/soshiki/5/bousai-refuge.html,
5,西部小学校,セイブショウガッコウ,香川県善通寺市善通寺町1146,,34.220278,133.772659,30.5,(0877)62-0701,,372048,香川県,善通寺市,1,,,1,,,1,,1,137人（4平方メートルあたり1人）,,https://www.city.zentsuji.kagawa.jp/soshiki/5/bousai-refuge.html,
6,東部小学校,トウブショウガッコウ,香川県善通寺市稲木町450-1,,34.235310,133.781308,27.0,(0877)62-0703,,372048,香川県,善通寺市,1,1,,1,,,1,,1,200人（4平方メートルあたり1人）,,https://www.city.zentsuji.kagawa.jp/soshiki/5/bousai-refuge.html,
7,与北小学校,ヨギタショウガッコウ,香川県善通寺市与北町1238,,34.233093,133.808324,34.2,(0877)62-0704,,372048,香川県,善通寺市,1,1,,1,,,1,,1,137人（4平方メートルあたり1人）,,https://www.city.zentsuji.kagawa.jp/soshiki/5/bousai-refuge.html,
8,竜川小学校,タツカワショウガッコウ,香川県善通寺市原田町306-1,,34.248666,133.792679,21.7,(0877)63-0705,,372048,香川県,善通寺市,1,1,,1,,1,1,,1,135人（4平方メートルあたり1人）,,https://www.city.zentsuji.kagawa.jp/soshiki/5/bousai-refuge.html,
9,市民体育館,シミンタイイクカン,香川県善通寺市金蔵寺町398-6,,34.239077,133.792319,28.5,(0877)62-7400,,372048,香川県,善通寺市,1,1,,1,,1,1,,1,673人（4平方メートルあたり1人）,,https://www.city.zentsuji.kagawa.jp/soshiki/5/bousai-refuge.html,
10,筆岡小学校,フデオカショウガッコウ,香川県善通寺市中村町1575-2,,34.238958,133.765345,18.5,(0877)62-0706,,372048,香川県,善通寺市,1,1,,1,,,1,,1,137人（4平方メートルあたり1人）,,https://www.city.zentsuji.kagawa.jp/soshiki/5/bousai-refuge.html,
11,吉原小学校,ヨシハラショウガッコウ,香川県善通寺市吉原町2811,,34.229867,133.750652,16.3,(0877)62-0707,,372048,香川県,善通寺市,1,1,,1,,1,1,,1,137人（4平方メートルあたり1人）,,https://www.city.zentsuji.kagawa.jp/soshiki/5/bousai-refuge.html,
12,南部公民館,ナンブコウミンカン,香川県善通寺市大麻町1306-1,,34.210005,133.803289,49.0,(0877)62-5685,,372048,香川県,善通寺市,1,1,,1,,,1,,1,35人（4平方メートルあたり1人）,,https://www.city.zentsuji.kagawa.jp/soshiki/5/bousai-refuge.html,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
